baseline_start,baseline_end,state,page,clicks,impressions,ctr,position
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/autauga-county/",0,1,0.000000,5.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/blount-county/",0,8,0.000000,5.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/calhoun-county/",0,7,0.000000,7.5714
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/cullman-county/",1,1,1.000000,3.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/elmore-county/",0,1,0.000000,4.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/etowah-county/",0,2,0.000000,7.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/houston-county/",0,4,0.000000,6.2500
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/lee-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/limestone-county/",0,2,0.000000,3.5000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/marshall-county/",0,2,0.000000,5.5000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/montgomery-county/",0,2,0.000000,5.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/morgan-county/",0,3,0.000000,6.6667
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/shelby-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/st-clair-county/",0,1,0.000000,5.0000
2026-06-20,2026-07-17,AL,"https://septicpath.com/septic-records-checklist/alabama/tuscaloosa-county/",0,7,0.000000,5.8571
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/bartholomew-county/",0,3,0.000000,3.3333
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/brown-county/",0,6,0.000000,7.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/decatur-county/",0,1,0.000000,1.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/grant-county/",0,5,0.000000,4.6000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/huntington-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/la-porte-county/",1,5,0.200000,7.8000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/marshall-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/miami-county/",0,2,0.000000,5.5000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/monroe-county/",0,6,0.000000,7.8333
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/porter-county/",0,11,0.000000,5.6364
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/shelby-county/",0,3,0.000000,7.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/st-joseph-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/tippecanoe-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,IN,"https://septicpath.com/septic-records-checklist/indiana/washington-county/",1,2,0.500000,5.5000
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/davidson-county/",0,2,0.000000,6.5000
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/durham-county/",0,1,0.000000,11.0000
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/guilford-county/",1,21,0.047619,7.8095
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/iredell-county/",0,16,0.000000,8.1875
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/lincoln-county/",4,20,0.200000,6.0500
2026-06-20,2026-07-17,NC,"https://septicpath.com/septic-records-checklist/north-carolina/randolph-county/",0,7,0.000000,6.8571
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/aiken-county/",0,6,0.000000,7.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/anderson-county/",2,6,0.333333,3.8333
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/beaufort-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/berkeley-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/charleston-county/",1,6,0.166667,4.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/dorchester-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/florence-county/",0,1,0.000000,5.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/greenville-county/",0,6,0.000000,6.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/horry-county/",1,11,0.090909,4.3636
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/lexington-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/pickens-county/",0,2,0.000000,4.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/richland-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/spartanburg-county/",0,6,0.000000,5.5000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/sumter-county/",0,0,0.000000,0.0000
2026-06-20,2026-07-17,SC,"https://septicpath.com/septic-records-checklist/south-carolina/york-county/",0,2,0.000000,5.5000
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/anderson-county/",0,7,0.000000,6.5714
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/bradley-county/",1,21,0.047619,5.8095
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/cumberland-county/",0,18,0.000000,6.8333
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/davidson-county/",0,9,0.000000,6.4444
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/jefferson-county/",2,12,0.166667,7.4167
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/knox-county/",2,28,0.071429,7.0714
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/loudon-county/",1,14,0.071429,10.6429
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/madison-county/",0,8,0.000000,7.8750
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/maury-county/",1,13,0.076923,6.3846
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/montgomery-county/",1,31,0.032258,7.1613
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/putnam-county/",1,7,0.142857,12.0000
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/rutherford-county/",0,21,0.000000,6.4286
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/sevier-county/",2,43,0.046512,7.0930
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/shelby-county/",0,8,0.000000,6.1250
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/sullivan-county/",2,17,0.117647,6.0588
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/sumner-county/",1,33,0.030303,6.3333
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/washington-county/",0,6,0.000000,9.0000
2026-06-20,2026-07-17,TN,"https://septicpath.com/septic-records-checklist/tennessee/wilson-county/",1,26,0.038462,7.1923
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/bastrop-county/",0,1,0.000000,3.0000
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/bell-county/",0,2,0.000000,9.0000
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/brazoria-county/",1,10,0.100000,7.6000
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/comal-county/",0,5,0.000000,7.8000
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/ellis-county/",0,3,0.000000,8.0000
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/guadalupe-county/",0,3,0.000000,7.6667
2026-06-20,2026-07-17,TX,"https://septicpath.com/septic-records-checklist/texas/parker-county/",0,3,0.000000,9.0000
