record_type,label,period_start,period_end,clicks,impressions,ctr,position,click_share
aggregate,current_28d,2026-06-20,2026-07-17,311,12542,0.024797,9.7893,
aggregate,previous_28d,2026-05-23,2026-06-19,104,8927,0.011650,10.4756,
aggregate,last_complete_7d,2026-07-11,2026-07-17,123,4615,0.026650,9.4930,
aggregate,previous_complete_7d,2026-07-04,2026-07-10,88,3213,0.027390,9.9740,
weekly,May 23,2026-05-23,2026-05-29,21,1832,0.011460,,
weekly,May 30,2026-05-30,2026-06-05,27,2691,0.010030,,
weekly,Jun 6,2026-06-06,2026-06-12,27,2130,0.012680,,
weekly,Jun 13,2026-06-13,2026-06-19,29,2274,0.012750,,
weekly,Jun 20,2026-06-20,2026-06-26,49,2354,0.020810,,
weekly,Jun 27,2026-06-27,2026-07-03,51,2360,0.021610,,
weekly,Jul 4,2026-07-04,2026-07-10,88,3213,0.027390,,
weekly,Jul 11,2026-07-11,2026-07-17,123,4615,0.026650,,
page_family,records,2026-06-20,2026-07-17,217,,,,0.6977
page_family,cost,2026-06-20,2026-07-17,75,,,,0.2412
page_family,permit,2026-06-20,2026-07-17,16,,,,0.0514
page_family,other,2026-06-20,2026-07-17,3,,,,0.0096
page,Alabama cost calculator,2026-06-20,2026-07-17,53,2459,0.021600,8.51,
page,Tennessee records,2026-06-20,2026-07-17,5,678,0.007370,12.33,
page,TDEC records,2026-06-20,2026-07-17,20,1120,0.017900,7.76,
page,North Carolina records,2026-06-20,2026-07-17,17,900,0.018900,9.75,
page,"Hamilton County, TN",2026-06-20,2026-07-17,0,120,0.000000,7.43,
page,"Prince William County, VA",2026-06-20,2026-07-17,9,92,0.097800,10.20,
